date,price,action,reward,portfolio_value,cash,shares
2026-06-11,1293.0,0,0.0,162688.30746349102,162688.30746349102,0.0
2026-06-12,1307.0,0,0.0,162688.30746349102,162688.30746349102,0.0
2026-06-15,1328.8,1,0.014585599887543757,165111.62262080307,7979.8614810842555,118.25087382579683
2026-06-16,1332.7,0,0.0027892375565942225,165572.80102872368,7979.8614810842555,118.25087382579683
2026-06-17,1328.1,1,-0.003490694487974981,165028.84700912502,7979.8614810842555,118.25087382579683
2026-06-18,1309.5,1,-0.013617380218457877,162829.3807559652,7979.8614810842555,118.25087382579683
2026-06-19,1326.5,1,0.012070247812048353,164839.64561100374,7979.8614810842555,118.25087382579683
2026-06-22,1309.5,2,-0.001152043205638093,164682.78582687382,164682.78582687382,0.0
2026-06-23,1313.6,0,0.0,164682.78582687382,164682.78582687382,0.0
2026-06-24,1318.1,1,0.0021017642541233854,165062.28336594265,8077.690644808143,119.09915235652417
2026-06-25,1301.0,1,-0.012615094992756372,163025.68786064608,8077.690644808143,119.09915235652417
2026-06-29,1293.9,2,-0.0011509033896044672,162870.73986343024,162870.73986343024,0.0
2026-06-30,1308.0,1,0.009158495265397092,164402.1194388818,7988.809790301253,119.58204101573438
2026-07-01,1303.5,0,-0.0032785574526617645,163864.00025431102,7988.809790301253,119.58204101573438
2026-07-02,1304.0,1,0.00016481542458971027,163923.79127481888,7988.809790301253,119.58204101573438
2026-07-03,1321.3,1,0.01234133912069893,165992.5605843911,7988.809790301253,119.58204101573438
2026-07-06,1308.4,2,-0.001152325801248685,165834.556833597,165834.556833597,0.0
2026-07-07,1275.9,2,-0.0002,165834.556833597,165834.556833597,0.0
2026-07-08,1279.8,2,-0.0002,165834.556833597,165834.556833597,0.0
2026-07-09,1307.8,1,0.01944035685432453,169123.80194941963,8134.185012687929,123.09956945766302
2026-07-10,1296.9,0,-0.007965385739464956,167782.01664233112,8134.185012687929,123.09956945766302
2026-07-13,1293.0,0,-0.0028654828534795014,167301.9283214462,8134.185012687929,123.09956945766302
2026-07-14,1295.5,0,0.0018377924511846346,167609.67724509037,8134.185012687929,123.09956945766302
2026-07-15,1296.6,2,-0.0011519224131030347,167450.20175285797,167450.20175285797,0.0
2026-07-16,1327.2,1,0.02104293841712429,171045.38702969163,8213.432395977696,122.6883323038833
2026-07-17,1323.1,0,-0.002945202357301902,170542.3648672457,8213.432395977696,122.6883323038833
2026-07-20,1303.7,0,-0.014054683607707168,168162.21122055035,8213.432395977696,122.6883323038833
2026-07-21,1288.6,2,-0.0011516103183202948,168002.2624417258,168002.2624417258,0.0
2026-07-22,1272.2,2,-0.0002,168002.2624417258,168002.2624417258,0.0
2026-07-23,1278.0,0,0.0,168002.2624417258,168002.2624417258,0.0
2026-07-24,1280.0,0,0.0,168002.2624417258,168002.2624417258,0.0
2026-07-27,1267.7,2,-0.0002,168002.2624417258,168002.2624417258,0.0
2026-07-28,1275.9,0,0.0,168002.2624417258,168002.2624417258,0.0
2026-07-29,1292.9,0,0.0,168002.2624417258,168002.2624417258,0.0
2026-07-30,1307.8,0,0.0,168002.2624417258,168002.2624417258,0.0
